Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
51,0.6122881355932204,0.6039603960396039,0.5460526315789473,0.6122881355932204,0.6039603960396039,0.5460526315789473,1.0,1.0,1.0,0.5657305518624033,0.5654071659905009,0.4874548788428883,0.5696827007227397,0.5709197615904616,0.4988163246466942,0.7726447957387085,1.148950380864462,0.5460526315789473
52,0.6094632768361582,0.5973597359735974,0.5625,0.6094632768361582,0.5973597359735974,0.5625,1.0,1.0,1.0,0.5651498880639297,0.5569015649644842,0.5079940018274753,0.5678591771544849,0.561780359256779,0.5164565080593038,0.774943140432057,1.14175793393307,0.5625
53,0.6094632768361582,0.6072607260726073,0.5526315789473685,0.6094632768361582,0.6072607260726073,0.5526315789473685,1.0,1.0,1.0,0.5646558759815731,0.5652260093523926,0.5025096418352998,0.5678159244556803,0.5714844301646688,0.5087999191276721,0.7691938647554852,1.1347284231938701,0.5526315789473685
54,0.6193502824858758,0.6072607260726073,0.569078947368421,0.6193502824858758,0.6072607260726073,0.569078947368421,1.0,1.0,1.0,0.5731963726387387,0.5679611728907628,0.5115250170006177,0.5761259206097636,0.5711297787221815,0.5215930673347899,0.7715530429987675,1.1280029531902571,0.569078947368421
55,0.6299435028248588,0.6105610561056105,0.5592105263157895,0.6299435028248588,0.6105610561056105,0.5592105263157895,1.0,1.0,1.0,0.5819325772545223,0.5658251035486421,0.50740241617681,0.5901463718399125,0.575594338685228,0.5171608492891064,0.7537742615249114,1.121198795159978,0.5592105263157895
56,0.6440677966101694,0.636963696369637,0.5789473684210527,0.6440677966101694,0.636963696369637,0.5789473684210527,1.0,1.0,1.0,0.5916971841400649,0.5949384707494016,0.530329249804869,0.6056355670880256,0.6077686725893655,0.5433853919676843,0.743831570994117,1.1144600947284449,0.5789473684210527
57,0.6483050847457628,0.6501650165016502,0.5888157894736842,0.6483050847457628,0.6501650165016502,0.5888157894736842,1.0,1.0,1.0,0.5944343677850363,0.6046102616904377,0.5328219454477194,0.6098942096732061,0.6200129729767374,0.550715437951602,0.7293710842343106,1.1077041471759161,0.5888157894736842
58,0.6391242937853108,0.6435643564356436,0.5888157894736842,0.6391242937853108,0.6435643564356436,0.5888157894736842,1.0,1.0,1.0,0.5894171448743198,0.601144188943441,0.5328700378254707,0.5984670642405036,0.611828530654759,0.546759057648485,0.725495422389762,1.1011143415761548,0.5888157894736842
59,0.6045197740112994,0.6039603960396039,0.5592105263157895,0.6045197740112994,0.6039603960396039,0.5592105263157895,1.0,1.0,1.0,0.5652134171585217,0.5747135524481273,0.5116746625550804,0.5611110790996096,0.5694877969374377,0.5164490667354429,0.7983942448669864,1.0959834924793892,0.5592105263157895
60,0.614406779661017,0.5775577557755776,0.5592105263157895,0.614406779661017,0.5775577557755776,0.5592105263157895,1.0,1.0,1.0,0.5689894924466359,0.5394422636628905,0.5086989788494547,0.5732521136722454,0.5439491020842468,0.5173915648776024,0.8101511415275325,1.091219619963525,0.5592105263157895
61,0.6320621468926554,0.6237623762376238,0.5822368421052632,0.6320621468926554,0.6237623762376238,0.5822368421052632,1.0,1.0,1.0,0.5832056381036969,0.5781765971509774,0.528173653765012,0.5928751738802329,0.589809766112223,0.5416082185059319,0.7529030137441014,1.0856734460910753,0.5822368421052632
62,0.643361581920904,0.6435643564356436,0.5723684210526315,0.643361581920904,0.6435643564356436,0.5723684210526315,1.0,1.0,1.0,0.5904849229705432,0.600221107845841,0.5159975133722133,0.6041253036279939,0.6125996432923233,0.5319106916729237,0.7245511211508722,1.0798488924630074,0.5723684210526315
63,0.663135593220339,0.6600660066006601,0.5855263157894737,0.663135593220339,0.6600660066006601,0.5855263157894737,1.0,1.0,1.0,0.6099150760488605,0.6143500078782146,0.529734629247487,0.6251972406286411,0.6294708759884705,0.5469423760247805,0.7136215112346397,1.0740357594276364,0.5855263157894737
64,0.6659604519774012,0.6666666666666666,0.5986842105263158,0.6659604519774012,0.6666666666666666,0.5986842105263158,1.0,1.0,1.0,0.6143999280568423,0.6226648721091812,0.5418995277121709,0.6276472542873671,0.6372471780397357,0.5592713905668278,0.7041260146503058,1.068255919665491,0.5986842105263158
