componentes_principais,autovalores
PC865,0.002328983238604882
PC866,0.0023029377624659716
PC867,0.0022037566854319784
PC868,0.0022804970805104545
PC869,0.0022348450452936907
PC870,0.0023700285315734226
PC871,0.0022674595179825985
PC872,0.002187529674850159
PC873,0.0021533062853149633
PC874,0.00022344404706083437
PC875,0.00022839346187388264
PC876,0.0020936316057545454
PC877,0.002096652380763293
PC878,0.00023482067783448874
PC879,0.0020592426133933207
PC880,0.00024101727560249436
PC881,0.0020340270635623866
PC882,0.00025100378767368324
PC883,0.00025583129714900986
PC884,0.0020137705273872153
PC885,0.0019858651421379835
PC886,0.002001459972913708
PC887,0.0002599004407446414
PC888,0.001962147539498429
PC889,0.001937760601613843
PC890,0.00026638935796232223
PC891,0.00027712618904614776
PC892,0.0019213049141987633
PC893,0.00028116898590577145
PC894,0.0019064001797172768
PC895,0.0018915374269578664
PC896,0.0018529830278810025
PC897,0.00028949067434383527
PC898,0.00029392742536724954
PC899,0.0018420631927229109
PC900,0.0018246199509505923
PC901,0.0002982623545791227
PC902,0.00030130858474576464
PC903,0.0003098330247677338
PC904,0.0018079376766518404
PC905,0.001739552743237869
PC906,0.0017665474154153525
PC907,0.00033011080045583675
PC908,0.0003223707921180604
PC909,0.00031698259940227716
PC910,0.0003379345554289571
PC911,0.0017241595536587602
PC912,0.0003383725388042348
PC913,0.0003641241890575728
PC914,0.0003462191121709358
PC915,0.0017204987850221738
PC916,0.0016758057512019408
PC917,0.0016895521178673968
PC918,0.00170062480350201
PC919,0.0009712112738760668
PC920,0.0009596740379787471
PC921,0.0003579111805605468
PC922,0.00035701210642485637
PC923,0.0003742488756372747
PC924,0.00037969851197623396
PC925,0.000383342238464544
PC926,0.0009235367000487761
PC927,0.000908810408543535
PC928,0.0009118110409526643
PC929,0.0009039566133886975
PC930,0.0003937252162256199
PC931,0.0008830941123316007
PC932,0.0008732427967970774
PC933,0.000398165565682289
PC934,0.0008427210589552013
PC935,0.0008342617544454659
PC936,0.000877766488781375
PC937,0.0008166589220957926
PC938,0.0004144040718169019
PC939,0.0008104952863518863
PC940,0.0008004182394318963
PC941,0.0007815595270093318
PC942,0.0007714963852550337
PC943,0.0007576598180776204
PC944,0.00041958019928539116
PC945,0.0004240262402684953
PC946,0.0007489119518665185
PC947,0.0007283465702558358
PC948,0.0004326227469025041
PC949,0.0004367624195727753
PC950,0.00044235885157551443
PC951,0.0007184278414667525
PC952,0.0004490394184191827
PC953,0.0007097276560732697
PC954,0.0006930246351649243
PC955,0.0006834454794449007
PC956,0.0004585485826680682
PC957,0.0004641740033593993
PC958,0.0006783069424670233
PC959,0.0004774124082848625
PC960,0.0006655119319912497
PC961,0.0004947506145821515
PC962,0.000504571392528655
PC963,0.0005034171215567857
PC964,0.0004882054474849235
PC965,0.0005363027177840712
PC966,0.0005457592279785084
PC967,0.0006090742351406841
PC968,0.0006152241774316384
PC969,0.0005513308843352558
PC970,0.0005228163160397976
PC971,0.0005205858789720803
PC972,0.0006556559045205762
PC973,0.0006321939404753412
PC974,0.0005564232786012685
PC975,0.0005849250855373701
PC976,0.0005603962647923104
PC977,0.0006345433621826127
PC978,0.0006200961689860128
PC979,0.0004688446339787273
PC980,0.0006489145667652148
PC981,0.0005856955829520802
PC982,0.0016364789336635334
PC983,0.0015955917196331946
PC984,0.0015913686412158626
PC985,0.0009919041784451103
PC986,0.0016195036845600373
PC987,0.0015682288437905614
PC988,0.0015616611421805985
PC989,0.0015099566025338017
PC990,0.0015396819199227142
PC991,0.0012646418837074192
PC992,0.0012233156724481306
PC993,0.0011002847242838343
PC994,0.001092195429271509
PC995,0.0010592617873708288
PC996,0.0010080924286395953
PC997,0.0010428092989581987
PC998,0.0010564137328346805
PC999,0.0010290663656057897
PC1000,0.0010208561746286743
PC1001,0.0015283339410037012
PC1002,0.0014641959160356984
PC1003,0.0014851513597435786
PC1004,0.0014583508830569656
PC1005,0.001452677958910792
PC1006,0.0014413600446635058
PC1007,0.0014171469152123495
PC1008,0.0013935431700629094
PC1009,0.0013833426034864029
PC1010,0.0013503246508529173
PC1011,0.0013662580340439597
PC1012,0.001295589427606267
PC1013,0.0012438360390550852
PC1014,0.001291388223728038
PC1015,0.0012001056374140982
PC1016,0.0012794106967278823
PC1017,0.0011611985181532716
PC1018,0.001122063322229228
PC1019,0.0011436764309166521
PC1020,0.0011770789867790986
PC1021,0.0013332193685988627
PC1022,0.001186315320393364
