Arquivo de saída: /home/pojucan/Área de Trabalho/231009/scripts/PCA/efetivos/arquivo_treinamento_suavizado_metricas10_100_50_10.csv

Época 61: MSE no treinamento = 0.0197, MSE na validação = 0.0231, MSE no teste = 0.0248
Época 61: R-squared no treinamento = 0.7595, R-squared na validação = 0.7330, R-squared no teste = 0.6942
Época 61: LOSS no treinamento = 0.0099, LOSS na validação = 0.7330, LOSS no teste = 0.6942
Época 62: MAE no treinamento = 0.1105, MAE na validação = 0.1216, MAE no teste = 0.1262
Época 62: MSE no treinamento = 0.0196, MSE na validação = 0.0230, MSE no teste = 0.0248
Época 62: R-squared no treinamento = 0.7601, R-squared na validação = 0.7343, R-squared no teste = 0.6948
Época 62: LOSS no treinamento = 0.0099, LOSS na validação = 0.7343, LOSS no teste = 0.6948
Época 63: MAE no treinamento = 0.1105, MAE na validação = 0.1220, MAE no teste = 0.1263
Época 63: MSE no treinamento = 0.0196, MSE na validação = 0.0231, MSE no teste = 0.0248
Época 63: R-squared no treinamento = 0.7605, R-squared na validação = 0.7330, R-squared no teste = 0.6949
Época 63: LOSS no treinamento = 0.0099, LOSS na validação = 0.7330, LOSS no teste = 0.6949
Época 64: MAE no treinamento = 0.1102, MAE na validação = 0.1214, MAE no teste = 0.1260
Época 64: MSE no treinamento = 0.0195, MSE na validação = 0.0230, MSE no teste = 0.0247
Época 64: R-squared no treinamento = 0.7610, R-squared na validação = 0.7347, R-squared no teste = 0.6955
Época 64: LOSS no treinamento = 0.0099, LOSS na validação = 0.7347, LOSS no teste = 0.6955
Época 65: MAE no treinamento = 0.1101, MAE na validação = 0.1215, MAE no teste = 0.1259
Época 65: MSE no treinamento = 0.0195, MSE na validação = 0.0230, MSE no teste = 0.0247
Época 65: R-squared no treinamento = 0.7614, R-squared na validação = 0.7342, R-squared no teste = 0.6958
Época 65: LOSS no treinamento = 0.0099, LOSS na validação = 0.7342, LOSS no teste = 0.6958
Época 66: MAE no treinamento = 0.1100, MAE na validação = 0.1216, MAE no teste = 0.1259
Época 66: MSE no treinamento = 0.0195, MSE na validação = 0.0230, MSE no teste = 0.0247
Época 66: R-squared no treinamento = 0.7618, R-squared na validação = 0.7339, R-squared no teste = 0.6960
Época 66: LOSS no treinamento = 0.0098, LOSS na validação = 0.7339, LOSS no teste = 0.6960
Época 67: MAE no treinamento = 0.1097, MAE na validação = 0.1210, MAE no teste = 0.1256
Época 67: MSE no treinamento = 0.0194, MSE na validação = 0.0229, MSE no teste = 0.0246
Época 67: R-squared no treinamento = 0.7624, R-squared na validação = 0.7356, R-squared no teste = 0.6967
Época 67: LOSS no treinamento = 0.0098, LOSS na validação = 0.7356, LOSS no teste = 0.6967
